부상/사망 여부,교통사고 종류
부상,신호위반
부상,중앙선 침범
부상,음주운전
부상,신호위반
부상,과속
부상,중앙선 침범
사망,음주운전
부상,음주운전
부상,과속
부상,신호위반
부상,중앙선 침범
부상,과속
부상,중앙선 침범
부상,음주운전
부상,신호위반
부상,음주운전
사망,음주운전
부상,중앙선 침범
사망,과속
사망,중앙선 침범
부상,중앙선 침범
사망,음주운전
사망,신호위반
부상,중앙선 침범
부상,신호위반
사망,과속
부상,신호위반
부상,신호위반
사망,중앙선 침범
부상,과속
부상,과속
사망,중앙선 침범
사망,신호위반
사망,음주운전
사망,과속
부상,중앙선 침범
부상,신호위반
부상,음주운전
부상,과속
사망,신호위반
부상,신호위반
부상,음주운전
부상,과속
사망,음주운전
사망,음주운전
부상,음주운전
부상,중앙선 침범
부상,과속
부상,과속
부상,음주운전
사망,음주운전
부상,음주운전
부상,중앙선 침범
사망,과속
부상,신호위반
사망,음주운전
부상,음주운전
부상,음주운전
사망,중앙선 침범
부상,중앙선 침범
부상,신호위반
부상,과속
부상,과속
부상,중앙선 침범
부상,과속
부상,음주운전
부상,중앙선 침범
사망,신호위반
사망,음주운전
부상,음주운전
부상,중앙선 침범
부상,신호위반
사망,음주운전
사망,신호위반
사망,신호위반
부상,신호위반
부상,신호위반
사망,과속
부상,과속
부상,과속
부상,음주운전
부상,음주운전
부상,신호위반
부상,과속
부상,과속
부상,중앙선 침범
부상,신호위반
부상,신호위반
부상,신호위반
부상,음주운전
사망,신호위반
부상,중앙선 침범
사망,신호위반
부상,과속
부상,과속
부상,음주운전
부상,신호위반
사망,중앙선 침범
부상,음주운전
부상,중앙선 침범
부상,신호위반
부상,중앙선 침범
사망,중앙선 침범
사망,과속
부상,신호위반
부상,중앙선 침범
사망,중앙선 침범
부상,과속
부상,과속
부상,중앙선 침범
부상,신호위반
부상,신호위반
부상,중앙선 침범
부상,중앙선 침범
부상,음주운전
부상,신호위반
부상,음주운전
사망,과속
부상,음주운전
부상,과속
부상,중앙선 침범
사망,신호위반
부상,신호위반
부상,음주운전
부상,신호위반
부상,신호위반
사망,음주운전
부상,신호위반
부상,중앙선 침범
부상,과속
부상,중앙선 침범
부상,중앙선 침범
사망,신호위반
사망,신호위반
부상,음주운전
부상,음주운전
사망,과속
부상,중앙선 침범
부상,음주운전
부상,중앙선 침범
부상,음주운전
사망,신호위반
사망,음주운전
부상,신호위반
부상,중앙선 침범
사망,과속
사망,과속
부상,중앙선 침범
사망,중앙선 침범
사망,과속
부상,음주운전
사망,음주운전
부상,신호위반
부상,중앙선 침범
사망,신호위반
부상,중앙선 침범
부상,음주운전
부상,신호위반
사망,음주운전
사망,신호위반
부상,음주운전
부상,과속
부상,중앙선 침범
부상,음주운전
부상,중앙선 침범
부상,중앙선 침범
사망,과속
사망,과속
부상,과속
부상,음주운전
부상,신호위반
사망,음주운전
부상,중앙선 침범
부상,음주운전
사망,과속
사망,중앙선 침범
부상,신호위반
사망,신호위반
사망,신호위반
부상,과속
부상,중앙선 침범
부상,과속
부상,음주운전
사망,음주운전
사망,신호위반
사망,과속
부상,신호위반
부상,중앙선 침범
사망,과속
사망,중앙선 침범
부상,신호위반
사망,신호위반
사망,과속
부상,음주운전
부상,중앙선 침범
부상,신호위반
부상,신호위반
부상,중앙선 침범
부상,신호위반
부상,중앙선 침범
부상,신호위반
부상,중앙선 침범
부상,신호위반
부상,과속
사망,과속
부상,음주운전
부상,음주운전
사망,신호위반
사망,과속
부상,과속
부상,음주운전
